0.919,0.917,0.195,0.358,0.382,0.754,0.285,0.541,0.620,0.225
0.941,0.939,0.145,0.296,0.305,0.769,0.229,0.562,0.579,0.161
0.919,0.916,0.202,0.369,0.397,0.757,0.292,0.536,0.632,0.236
0.939,0.936,0.149,0.301,0.311,0.767,0.233,0.561,0.581,0.166
0.943,0.940,0.142,0.292,0.300,0.771,0.225,0.564,0.578,0.157
0.969,0.968,0.086,0.222,0.218,0.807,0.160,0.585,0.548,0.096
0.969,0.967,0.087,0.223,0.219,0.806,0.161,0.585,0.549,0.097
0.979,0.978,0.051,0.148,0.134,0.810,0.110,0.627,0.457,0.050
0.980,0.979,0.048,0.139,0.124,0.809,0.104,0.633,0.442,0.046
0.986,0.986,0.026,0.082,0.061,0.806,0.062,0.678,0.321,0.021
0.987,0.987,0.024,0.078,0.058,0.809,0.059,0.683,0.315,0.019
0.995,0.995,0.009,0.040,0.024,0.852,0.027,0.746,0.231,0.006
0.880,0.882,0.288,0.465,0.496,0.737,0.379,0.503,0.687,0.368
0.940,0.937,0.148,0.300,0.309,0.767,0.232,0.561,0.581,0.165
0.922,0.919,0.192,0.356,0.379,0.757,0.282,0.541,0.621,0.222
0.939,0.951,0.368,0.612,0.398,0.807,0.559,0.418,0.809,0.559
0.992,0.994,0.416,0.727,0.263,0.924,0.703,0.289,0.927,0.743
0.943,0.954,0.368,0.616,0.394,0.812,0.564,0.414,0.814,0.565
0.923,0.920,0.192,0.357,0.381,0.758,0.282,0.540,0.623,0.223
0.922,0.920,0.194,0.360,0.385,0.759,0.284,0.539,0.626,0.226
0.881,0.884,0.287,0.468,0.496,0.737,0.379,0.500,0.691,0.370
0.923,0.920,0.192,0.357,0.381,0.759,0.282,0.540,0.624,0.223
0.938,0.951,0.368,0.611,0.399,0.806,0.558,0.418,0.808,0.559
1.000,1.000,0.506,0.921,0.049,0.997,0.916,0.065,0.997,0.965
0.954,0.964,0.376,0.632,0.379,0.829,0.586,0.400,0.832,0.590
0.945,0.956,0.370,0.619,0.392,0.815,0.568,0.412,0.817,0.569
